date,product_id,product_name,brand,category,price,competitor_price,cost,search_trend,review_velocity,social_buzz,historical_demand,month,day_of_week,month_sin,month_cos,dow_sin,dow_cos,price_gap,popularity,rolling_7d_sales,is_black_friday,is_new_year,is_festival_season,inventory_level,inventory_ratio,max_inventory
2024-01-01,1,Apple iPhone 14,Apple,Smartphone,809,727,582,83.99746149894088,24.737199105233195,54.36551001893273,256,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,82,0.7464583671048937,256.0,0,1,0,348,0.696,500
2024-01-02,1,Apple iPhone 14,Apple,Smartphone,755,773,582,87.70549546168044,21.946744566280618,31.023213291160367,336,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-18,0.663359067383009,296.0,0,1,0,368,0.736,500
2024-01-03,1,Apple iPhone 14,Apple,Smartphone,823,733,582,85.38534281825817,20.333286392543123,47.35571507111362,322,1,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,90,0.6869413804118047,304.6666666666667,0,1,0,400,0.8,500
2024-01-04,1,Apple iPhone 14,Apple,Smartphone,775,843,582,79.90914657134893,12.083528932315565,61.60550625250523,261,1,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-68,0.6252883943660671,293.75,0,1,0,395,0.79,500
2024-01-05,1,Apple iPhone 14,Apple,Smartphone,750,855,582,81.56580076640715,17.43337297301417,49.34694796289753,285,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-105,0.6486377766844629,292.0,0,1,0,400,0.8,500
2024-01-06,1,Apple iPhone 14,Apple,Smartphone,754,760,582,95.8212279471304,24.438742297966787,63.414984951631425,264,1,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-6,0.8179172896230836,287.3333333333333,0,0,0,380,0.76,500
2024-01-07,1,Apple iPhone 14,Apple,Smartphone,772,781,582,93.31263431403563,24.877725635611796,42.81238643232065,265,1,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-9,0.7504649529092224,284.14285714285717,0,0,0,400,0.8,500
2024-01-08,1,Apple iPhone 14,Apple,Smartphone,796,850,582,98.12525822394198,26.78120014285411,48.91984817629499,237,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-54,0.8070725788531941,281.42857142857144,0,0,0,378,0.756,500
2024-01-09,1,Apple iPhone 14,Apple,Smartphone,826,782,582,80.6623715908795,23.92104093826969,40.77686360874034,320,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,44,0.6841904865724359,279.14285714285717,0,0,0,400,0.8,500
2024-01-10,1,Apple iPhone 14,Apple,Smartphone,772,862,582,75.81249541408597,25.212458086697104,63.55298735938763,258,1,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-90,0.7460335246014778,270.0,0,0,0,400,0.8,500
2024-01-11,1,Apple iPhone 14,Apple,Smartphone,777,827,582,81.91506397106812,17.491214782077318,63.731031765531114,271,1,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-50,0.693765499001639,271.42857142857144,0,0,0,400,0.8,500
2024-01-12,1,Apple iPhone 14,Apple,Smartphone,838,848,582,99.62641289999702,18.95153781581501,38.38935603880244,345,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-10,0.7031890978745454,280.0,0,0,0,397,0.794,500
2024-01-13,1,Apple iPhone 14,Apple,Smartphone,811,770,582,76.50610026766992,14.904636073159647,51.905183590576975,272,1,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,41,0.6107863125740071,281.14285714285717,0,0,0,380,0.76,500
2024-01-14,1,Apple iPhone 14,Apple,Smartphone,807,771,582,92.14938830094756,9.888425334021322,35.854147872991064,237,1,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,36,0.5750442501629767,277.14285714285717,0,0,0,395,0.79,500
2024-01-15,1,Apple iPhone 14,Apple,Smartphone,830,832,582,89.81449195488361,11.632476890048885,33.91202248346513,217,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-2,0.5773188041704187,274.2857142857143,0,0,0,400,0.8,500
2024-01-16,1,Apple iPhone 14,Apple,Smartphone,768,845,582,83.40817697563523,20.019686522157013,57.16631149150291,355,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-77,0.7053285075986198,279.2857142857143,0,0,0,400,0.8,500
2024-01-17,1,Apple iPhone 14,Apple,Smartphone,804,842,582,65.01240858361288,27.401642805860817,82.38092785044655,381,1,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-38,0.7812088459443994,296.85714285714283,0,0,0,361,0.722,500
2024-01-18,1,Apple iPhone 14,Apple,Smartphone,760,863,582,81.98172156650307,26.92007859466339,71.07807958817281,336,1,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,-103,0.8103619109771646,306.14285714285717,0,0,0,400,0.8,500
2024-01-19,1,Apple iPhone 14,Apple,Smartphone,808,866,582,90.280994633482,14.014564683308484,61.84509207126008,317,1,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-58,0.6868049015807931,302.14285714285717,0,0,0,380,0.76,500
2024-01-20,1,Apple iPhone 14,Apple,Smartphone,782,847,582,74.49336568933867,20.342814874030136,34.065444294108424,263,1,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-65,0.6035979443799814,300.85714285714283,0,0,0,400,0.8,500
2024-01-21,1,Apple iPhone 14,Apple,Smartphone,839,831,582,82.16746707663762,18.389692418971624,62.202758260545046,279,1,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,8,0.6991750672779019,306.85714285714283,0,0,0,351,0.702,500
2024-01-22,1,Apple iPhone 14,Apple,Smartphone,848,866,582,90.62824599733182,22.507981826730862,47.79581910619441,276,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-18,0.7309802595752191,315.2857142857143,0,0,0,400,0.8,500
2024-01-23,1,Apple iPhone 14,Apple,Smartphone,824,832,582,91.08711799627386,20.528818235138804,63.81000073569607,332,1,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-8,0.7610666565435716,312.0,0,0,0,399,0.798,500
